Domain,TTL,MXRecord
"gmail1.com",10,"park-mx.above.com."
"gmaild.com",10,"park-mx.above.com."
"gmailp.com",10,"park-mx.above.com."
"gmailt.com",10,"park-mx.above.com."
"gmaili.com",10,"park-mx.above.com."
"gmailm.com",10,"park-mx.above.com."
"gmaila.com",10,"park-mx.above.com."
"gmailr.com",10,"park-mx.above.com."
"gmail0.com",10,"park-mx.above.com."
"gmail4.com",10,"mail.gmail4.com."
"gmail3.com",,
"gmail5.com",10,"mx5.gmoserver.jp."
"gmailw.com",,
"gmail8.com",4,"route3.mx.cloudflare.net. 78 route2.mx.cloudflare.net. 53 route1.mx.cloudflare.net."
"gmailz.com",5,"mail.h-email.net."
"gmailn.com",5,"mail.h-email.net."
"gmail7.com",0,"mail.gmail7.com."
"gmailg.com",,
"gmaily.com",10,"mx01.memail.com. 20 mx03.memail.com. 10 mx02.memail.com. 20 mx04.memail.com."
"gmailq.com",1,"mail.h-email.net."
"gmail2.com",5,"alt1.aspmx.l.google.com. 1 aspmx.l.google.com. 10 alt4.aspmx.l.google.com. 10 alt3.aspmx.l.google.com. 5 alt2.aspmx.l.google.com."
"gmaile.com",,
"gmails.com",,
"gmailo.com",,
"gmailf.com",0,"localhost."
"gmailh.com",0,"localhost."
"gmailk.com",0,"localhost."
"gmailx.com",0,"localhost."
"gmailc.com",10,"mx156.hostedmxserver.com."
"gmailj.com",,
"gmail6.com",";","<<>> DiG 9.11.36-RedHat-9.11.36-7.el8 <<>> gmail6.com mx +short ;; global options: +cmd ;; connection timed out; no servers could be reached"
"gmail9.com",";","<<>> DiG 9.11.36-RedHat-9.11.36-7.el8 <<>> gmail9.com mx +short ;; global options: +cmd ;; connection timed out; no servers could be reached"
"gmailb.com",,
"gmaill.com",,
"gmailu.com",20,"in2-smtp.messagingengine.com. 10 in1-smtp.messagingengine.com."
"gmailv.com",21,"route1.mx.cloudflare.net. 34 route2.mx.cloudflare.net. 5 route3.mx.cloudflare.net."
"giail.com",10,"park-mx.above.com."
"gmaim.com",10,"park-mx.above.com."
"gmqil.com",10,"park-mx.above.com."
"gmaid.com","traff-2.hugedomains.com.","hdr-nlb5-4e815dd67a14bf7f.elb.us-east-2.amazonaws.com."
"gmaih.com",5,"mail.h-email.net."
"g-ail.com",5,"mail.h-email.net."
"gmain.com",1,"mail.mailerhost.net."
"gmayl.com",,
"goail.com",20,"mx37.m1bp.com. 10 mx37.mb5p.com."
"gmaal.com",,
"gmiil.com",,
"fmail.com",10,"mx.hover.com.cust.hostedemail.com."
"email.com",10,"mx00.mail.com. 10 mx01.mail.com."
"geail.com",,
"cmail.com",1,"localhost."
"gmeil.com",1,"mail.h-email.net."
"gmakl.com",10,"mail.gmakl.com."
"omail.com",,
"gmaml.com",,
"glail.com",,
"gmahl.com",,
"gmcil.com",0,"gmcil-com.mail.protection.outlook.com."
"wmail.com",,
"ԍмаіӏ.com",,
"gnai1.com",10,"mail.9n9n9t.jp."
"ĝmail.com",,
"gmàil.com",,
"ǥmaıl.com",,
"gmȧıl.com",,
"grail.com",1,"mailstream-east.mxrecord.io. 1 mailstream-west.mxrecord.io. 10 alt3.aspmx.l.google.com. 10 alt4.aspmx.l.google.com. 4 aspmx.l.google.com. 5 alt1.aspmx.l.google.com. 5 alt2.aspmx.l.google.com."
"gmall.com",,
"gmaìl.com",,
"qrrail.com",0,"."
"gnail.com",5,"mx1.oweb.cn. 10 mx2.oweb.cn."
"gnnaii.com",,
"qrnail.com",0,"mx01.wh.tyo1.cloud.z.com."
"ɢmail.com",,
"grnaii.com",10,"mx.sendgrid.net."
"gmal1.com",20,"eforward5.registrar-servers.com. 15 eforward4.registrar-servers.com. 10 eforward1.registrar-servers.com. 10 eforward2.registrar-servers.com. 10 eforward3.registrar-servers.com."
"qmaii.com",,
"qmall.com",,
"gnaii.com",10,"gnaii.com."
"gḿail.com",,
"gmaił.com",,
"gmali.com",,
"ģmail.com",,
"gmaïl.com",,
"grna1l.com",10,"mx.yandex.net."
"gmaiɩ.com",,
"gmâil.com",,
"ġmail.com",,
"ġmaíl.com",,
"gmãil.com",,
"ğmail.com",,
"qnail.com","traff-1.hugedomains.com.","hdr-nlb9-41371129e8304c29.elb.us-east-1.amazonaws.com."
"grnail.com","traff-1.hugedomains.com.","hdr-nlb9-41371129e8304c29.elb.us-east-1.amazonaws.com."
"ǥmaíl.com",,
"gmaii.com",0,"localhost."
"grmail.com",0,"grmail-com.mail.protection.outlook.com."
"gmmail.com",,
"qnnail.com",10,"qnnail.com."
"gmaỉl.com",,
"gmnail.com",,
"gnmail.com",0,"mx203.inbound-mx.net. 10 mx203.inbound-mx.org."
"gmåil.com",,
"gma11.com",,
"gma1i.com",,
"gma1l.com",,
"gmai1.com",,
"gna1l.com",10,"mx.yandex.net."
"gnall.com",10,"aspmx.l.google.com. 30 aspmx3.googlemail.com. 20 alt1.aspmx.l.google.com. 30 aspmx2.googlemail.com. 20 alt2.aspmx.l.google.com."
"gnna1l.com",,
"gnnai1.com",,
"gnnail.com",,
"gnnall.com",,
"gnrail.com",,
"grnai1.com",,
"grnall.com",,
"grra1l.com",,
"grrai1.com",,
"grraii.com",,
"grrail.com",40,"alt4.gmr-smtp-in.l.google.com. 10 alt1.gmr-smtp-in.l.google.com. 5 gmr-smtp-in.l.google.com. 30 alt3.gmr-smtp-in.l.google.com. 20 alt2.gmr-smtp-in.l.google.com."
"grrall.com",,
"qma1l.com",,
"qmai1.com",1,"aspmx.l.google.com. 5 alt2.aspmx.l.google.com. 10 alt3.aspmx.l.google.com. 5 alt1.aspmx.l.google.com. 10 alt4.aspmx.l.google.com."
"qmail.com",10,"mx3.qq.com. 20 mx2.qq.com. 30 mx1.qq.com."
"ǥḿail.com",,
"ǥṁail.com",,
"ǥɱail.com",,
"ǥṃail.com",,
"ǥᴍail.com",,
"ĝḿail.com",,
"ĝṁail.com",,
"ĝɱail.com",,
"ĝṃail.com",,
"ĝᴍail.com",,
"ɡṃail.com",,
"ɡᴍail.com",,
"ɡḿail.com",,
"ɡṁail.com",,
"ɡɱail.com",,
"ǧṁail.com",,
"ǧɱail.com",,
"ǧṃail.com",,
"ǧᴍail.com",,
"ǧḿail.com",,
"ɢᴍail.com",,
"ɢḿail.com",,
"ɢṁail.com",,
"ɢṃail.com",,
"ɢɱail.com",,
"ğṁail.com",,
"ğɱail.com",,
"ğṃail.com",,
"ğᴍail.com",,
"ğḿail.com",,
"ġṃail.com",,
"ġᴍail.com",,
"ġḿail.com",,
"ġṁail.com",,
"ġɱail.com",,
"ǵḿail.com",,
"ǵṁail.com",,
"ǵɱail.com",,
"ǵṃail.com",,
"ǵᴍail.com",,
"ģᴍail.com",,
"ģḿail.com",,
"ģṁail.com",,
"ģɱail.com",,
"ģṃail.com",,
"gḿa1l.com",,
"gɱa1l.com",,
"gᴍa1l.com",,
"gṁa1l.com",,
"gṃa1l.com",,
"gᴍaiɫ.com",,
"gḿaiɫ.com",,
"gṁaiɫ.com",,
"gṃaiɫ.com",,
"gɱaiɫ.com",,
"gḿaił.com",,
"gṁaił.com",,
"gɱaił.com",,
"gṃaił.com",,
"gᴍaił.com",,
"gḿai1.com",,
"gɱai1.com",,
"gᴍai1.com",,
"gṁai1.com",,
"gṃai1.com",,
"gḿaii.com",,
"gɱaii.com",,
"gᴍaii.com",,
"gṁaii.com",,
"gṃaii.com",,
"gŗŗail.com",,
"gɽɽail.com",,
"gṅail.com",,
"gṅṅail.com",,
"gɍɍail.com",,
"gɾɾail.com",,
"gṛṛail.com",,
"gǹail.com",,
"gǹǹail.com",,
"gꞑail.com",,
"gꞑꞑail.com",,
"gńail.com",,
"gńńail.com",,
"gřřail.com",,
"gɱail.com",,
"gṇail.com",,
"gṇṇail.com",,
"gᴍail.com",,
"gṁail.com",,
"gʀʀail.com",,
"gñail.com",,
"gññail.com",,
"gņail.com",,
"gņņail.com",,
"gṉail.com",,
"gṉṉail.com",,
"gȑȑail.com",,
"gŕŕail.com",,
"gṃail.com",,
"gṟṟail.com",,
"gňail.com",,
"gňňail.com",,
"gɼɼail.com",,
"gṙṙail.com",,
"gȓȓail.com",,
"gᴍaïl.com",,
"gḿaïl.com",,
"gṁaïl.com",,
"gɱaïl.com",,
"gṃaïl.com",,
"gṃaỉl.com",,
"gṃaịl.com",,
"gḿaĭl.com",,
"gṁaĭl.com",,
"gɱaĭl.com",,
"gṃaĭl.com",,
"gᴍaĭl.com",,
"gᴍaɨl.com",,
"gḿaɨl.com",,
"gṁaɨl.com",,
"gṃaɨl.com",,
"gɱaɨl.com",,
"gɱaịl.com",,
"gɱaỉl.com",,
"gᴍaɩl.com",,
"gḿaɩl.com",,
"gṁaɩl.com",,
"gṃaɩl.com",,
"gɱaɩl.com",,
"gᴍaɪl.com",,
"gḿaɪl.com",,
"gṁaɪl.com",,
"gṃaɪl.com",,
"gɱaɪl.com",,
"gḿaȋl.com",,
"gṁaȋl.com",,
"gɱaȋl.com",,
"gṃaȋl.com",,
"gᴍaȋl.com",,
"gḿaıl.com",,
"gṁaıl.com",,
"gɱaıl.com",,
"gṃaıl.com",,
"gᴍaıl.com",,
"gḿaỉl.com",,
"gḿaịl.com",,
"gᴍaịl.com",,
"gᴍaỉl.com",,
"gᴍaìl.com",,
"gḿaìl.com",,
"gṁaìl.com",,
"gɱaìl.com",,
"gṃaìl.com",,
"gḿaǐl.com",,
