*original      i.softbank.jp      -
addition       i.softbanku.jp     173.255.194.134
addition       i.softbank2.jp     64.190.63.111
addition       i.softbank0.jp     -
addition       i.softbank1.jp     -
addition       i.softbank3.jp     -
addition       i.softbank4.jp     -
addition       i.softbank5.jp     -
addition       i.softbank6.jp     -
addition       i.softbank7.jp     -
addition       i.softbank8.jp     -
addition       i.softbank9.jp     -
addition       i.softbanka.jp     -
addition       i.softbankb.jp     -
addition       i.softbankc.jp     -
addition       i.softbankd.jp     -
addition       i.softbanke.jp     -
addition       i.softbankf.jp     -
addition       i.softbankg.jp     -
addition       i.softbankh.jp     -
addition       i.softbanki.jp     -
addition       i.softbankj.jp     -
addition       i.softbankk.jp     -
addition       i.softbankl.jp     -
addition       i.softbankm.jp     -
addition       i.softbankn.jp     -
addition       i.softbanko.jp     -
addition       i.softbankp.jp     -
addition       i.softbankq.jp     -
addition       i.softbankr.jp     -
addition       i.softbanks.jp     -
addition       i.softbankt.jp     -
addition       i.softbankv.jp     -
addition       i.softbankw.jp     -
addition       i.softbankx.jp     -
addition       i.softbanky.jp     -
addition       i.softbankz.jp     -
bitsquatting   i.3oftbank.jp      -
bitsquatting   i.coftbank.jp      -
bitsquatting   i.qoftbank.jp      -
bitsquatting   i.roftbank.jp      -
bitsquatting   i.sgftbank.jp      -
bitsquatting   i.skftbank.jp      -
bitsquatting   i.smftbank.jp      -
bitsquatting   i.snftbank.jp      -
bitsquatting   i.sobtbank.jp      -
bitsquatting   i.sodtbank.jp      -
bitsquatting   i.sof4bank.jp      -
bitsquatting   i.sofdbank.jp      -
bitsquatting   i.sofpbank.jp      -
bitsquatting   i.softbafk.jp      -
bitsquatting   i.softbajk.jp      -
bitsquatting   i.softbalk.jp      -
bitsquatting   i.softbanc.jp      -
bitsquatting   i.softbani.jp      -
bitsquatting   i.softbanj.jp      -
bitsquatting   i.softbano.jp      -
bitsquatting   i.softbaok.jp      -
bitsquatting   i.softbcnk.jp      -
bitsquatting   i.softbenk.jp      -
bitsquatting   i.softbink.jp      -
bitsquatting   i.softbqnk.jp      -
bitsquatting   i.softcank.jp      -
bitsquatting   i.softfank.jp      -
bitsquatting   i.softjank.jp      -
bitsquatting   i.softrank.jp      -
bitsquatting   i.sofubank.jp      -
bitsquatting   i.sofvbank.jp      -
bitsquatting   i.sogtbank.jp      -
bitsquatting   i.sontbank.jp      -
bitsquatting   i.sovtbank.jp      -
bitsquatting   i.woftbank.jp      -
homoglyph      i.s0ftbank.jp      202.226.39.129
homoglyph      i.s0ftbamk.jp      -
homoglyph      i.s0ftbanik.jp     -
homoglyph      i.s0ftbanlc.jp     -
homoglyph      i.s0ftbanlk.jp     -
homoglyph      i.s0ftbark.jp      -
homoglyph      i.s0ftdank.jp      -
homoglyph      i.s0ftlbank.jp     -
homoglyph      i.soft1bank.jp     -
homoglyph      i.softbamik.jp     -
homoglyph      i.softbamk.jp      -
homoglyph      i.softbamlc.jp     -
homoglyph      i.softbamlk.jp     -
homoglyph      i.softban1c.jp     -
homoglyph      i.softban1k.jp     -
homoglyph      i.softbanic.jp     -
homoglyph      i.softbaniik.jp    -
homoglyph      i.softbanik.jp     -
homoglyph      i.softbanilc.jp    -
homoglyph      i.softbanilk.jp    -
homoglyph      i.softbanlc.jp     -
homoglyph      i.softbanle.jp     -
homoglyph      i.softbanlik.jp    -
homoglyph      i.softbanlk.jp     -
homoglyph      i.softbanllc.jp    -
homoglyph      i.softbanllk.jp    -
homoglyph      i.softbannk.jp     -
homoglyph      i.softbarik.jp     -
homoglyph      i.softbark.jp      -
homoglyph      i.softbarlc.jp     -
homoglyph      i.softbarlk.jp     -
homoglyph      i.softbarnk.jp     -
homoglyph      i.softbarrk.jp     -
homoglyph      i.softclank.jp     -
homoglyph      i.softdamk.jp      -
homoglyph      i.softdanik.jp     -
homoglyph      i.softdank.jp      -
homoglyph      i.softdanlc.jp     -
homoglyph      i.softdanlk.jp     -
homoglyph      i.softdark.jp      -
homoglyph      i.softdlank.jp     -
homoglyph      i.softibank.jp     -
homoglyph      i.softlbamk.jp     -
homoglyph      i.softlbanik.jp    -
homoglyph      i.softlbank.jp     -
homoglyph      i.softlbanlc.jp    -
homoglyph      i.softlbanlk.jp    -
homoglyph      i.softlbark.jp     -
homoglyph      i.softldank.jp     -
homoglyph      i.softllbank.jp    -
homoglyph      i.ṣ0ftbank.jp      -
homoglyph      i.ꜱ0ftbank.jp      -
homoglyph      i.ś0ftbank.jp      -
homoglyph      i.ṡ0ftbank.jp      -
homoglyph      i.š0ftbank.jp      -
homoglyph      i.ʂ0ftbank.jp      -
homoglyph      i.ș0ftbank.jp      -
homoglyph      i.ŝ0ftbank.jp      -
homoglyph      i.ʂᴏftbank.jp      -
homoglyph      i.ʂỏftbank.jp      -
homoglyph      i.ʂọftbank.jp      -
homoglyph      i.śȯftbank.jp      -
homoglyph      i.śᴏftbank.jp      -
homoglyph      i.śỏftbank.jp      -
homoglyph      i.śơftbank.jp      -
homoglyph      i.śọftbank.jp      -
homoglyph      i.ꜱỏftbank.jp      -
homoglyph      i.șᴏftbank.jp      -
homoglyph      i.șȯftbank.jp      -
homoglyph      i.șỏftbank.jp      -
homoglyph      i.șọftbank.jp      -
homoglyph      i.ʂơftbank.jp      -
homoglyph      i.șơftbank.jp      -
homoglyph      i.ṡơftbank.jp      -
homoglyph      i.ꜱơftbank.jp      -
homoglyph      i.ṣơftbank.jp      -
homoglyph      i.ṡỏftbank.jp      -
homoglyph      i.ṡọftbank.jp      -
homoglyph      i.šọftbank.jp      -
homoglyph      i.šᴏftbank.jp      -
homoglyph      i.šȯftbank.jp      -
homoglyph      i.šơftbank.jp      -
homoglyph      i.šỏftbank.jp      -
homoglyph      i.ṣóftbank.jp      -
homoglyph      i.ŝóftbank.jp      -
homoglyph      i.šóftbank.jp      -
homoglyph      i.ʂóftbank.jp      -
homoglyph      i.śóftbank.jp      -
homoglyph      i.șóftbank.jp      -
homoglyph      i.ṡóftbank.jp      -
homoglyph      i.ꜱóftbank.jp      -
homoglyph      i.ꜱᴏftbank.jp      -
homoglyph      i.ṣᴏftbank.jp      -
homoglyph      i.ṡᴏftbank.jp      -
homoglyph      i.ŝọftbank.jp      -
homoglyph      i.ŝᴏftbank.jp      -
homoglyph      i.ŝȯftbank.jp      -
homoglyph      i.ŝỏftbank.jp      -
homoglyph      i.ŝơftbank.jp      -
homoglyph      i.ṣȯftbank.jp      -
homoglyph      i.ṡȯftbank.jp      -
homoglyph      i.ʂȯftbank.jp      -
homoglyph      i.ꜱȯftbank.jp      -
homoglyph      i.ṣọftbank.jp      -
homoglyph      i.ṣỏftbank.jp      -
homoglyph      i.ꜱọftbank.jp      -
homoglyph      i.śöftbank.jp      -
homoglyph      i.șöftbank.jp      -
homoglyph      i.ṡöftbank.jp      -
homoglyph      i.ʂöftbank.jp      -
homoglyph      i.ꜱöftbank.jp      -
homoglyph      i.ŝöftbank.jp      -
homoglyph      i.ṣöftbank.jp      -
homoglyph      i.šöftbank.jp      -
homoglyph      i.ʂofṭbank.jp      -
homoglyph      i.ʂofṫbank.jp      -
homoglyph      i.śofţbank.jp      -
homoglyph      i.śofṭbank.jp      -
homoglyph      i.śofțbank.jp      -
homoglyph      i.śofŧbank.jp      -
homoglyph      i.śofṫbank.jp      -
homoglyph      i.śofƫbank.jp      -
homoglyph      i.șofṭbank.jp      -
homoglyph      i.șofṫbank.jp      -
homoglyph      i.șofțbank.jp      -
homoglyph      i.ṡofṭbank.jp      -
homoglyph      i.ṡofṫbank.jp      -
homoglyph      i.ꜱofṫbank.jp      -
homoglyph      i.ṡofƫbank.jp      -
homoglyph      i.ʂofƫbank.jp      -
homoglyph      i.șofƫbank.jp      -
homoglyph      i.ꜱofƫbank.jp      -
homoglyph      i.ṣofƫbank.jp      -
homoglyph      i.šofṭbank.jp      -
homoglyph      i.šofțbank.jp      -
homoglyph      i.šofŧbank.jp      -
homoglyph      i.šofƫbank.jp      -
homoglyph      i.šofṫbank.jp      -
homoglyph      i.šofţbank.jp      -
homoglyph      i.ŝofṫbank.jp      -
homoglyph      i.ŝofƫbank.jp      -
homoglyph      i.ŝofţbank.jp      -
homoglyph      i.ŝofṭbank.jp      -
homoglyph      i.ŝofțbank.jp      -
homoglyph      i.ŝofŧbank.jp      -
homoglyph      i.ṣofṭbank.jp      -
homoglyph      i.ṣofṫbank.jp      -
homoglyph      i.ꜱofṭbank.jp      -
homoglyph      i.ṣofŧbank.jp      -
homoglyph      i.șofŧbank.jp      -
homoglyph      i.ṡofŧbank.jp      -
homoglyph      i.ʂofŧbank.jp      -
homoglyph      i.ꜱofŧbank.jp      -
homoglyph      i.ṣofțbank.jp      -
homoglyph      i.ṡofțbank.jp      -
homoglyph      i.ʂofțbank.jp      -
homoglyph      i.ꜱofțbank.jp      -
homoglyph      i.ṣofţbank.jp      -
homoglyph      i.ʂofţbank.jp      -
homoglyph      i.șofţbank.jp      -
homoglyph      i.ṡofţbank.jp      -
homoglyph      i.ꜱofţbank.jp      -
homoglyph      i.ʂoftḅank.jp      -
homoglyph      i.ʂoftʙank.jp      -
homoglyph      i.ʂoftḃank.jp      -
homoglyph      i.ʂoftḇank.jp      -
homoglyph      i.śoftɓank.jp      -
homoglyph      i.śoftḅank.jp      -
homoglyph      i.śoftʙank.jp      -
homoglyph      i.śoftƅank.jp      -
homoglyph      i.śoftḃank.jp      -
homoglyph      i.śoftḇank.jp      -
homoglyph      i.șoftḅank.jp      -
homoglyph      i.șoftʙank.jp      -
homoglyph      i.șoftɓank.jp      -
homoglyph      i.șoftḃank.jp      -
homoglyph      i.șoftḇank.jp      -
homoglyph      i.ṣoftḇank.jp      -
homoglyph      i.ꜱoftḇank.jp      -
homoglyph      i.ṡoftḇank.jp      -
homoglyph      i.šoftʙank.jp      -
homoglyph      i.šoftɓank.jp      -
homoglyph      i.šoftḅank.jp      -
homoglyph      i.šoftƅank.jp      -
homoglyph      i.šoftḃank.jp      -
homoglyph      i.šoftḇank.jp      -
homoglyph      i.ṡoftḃank.jp      -
homoglyph      i.ṣoftḃank.jp      -
homoglyph      i.ꜱoftḃank.jp      -
homoglyph      i.ŝoftḇank.jp      -
homoglyph      i.ŝoftḅank.jp      -
homoglyph      i.ŝoftʙank.jp      -
homoglyph      i.ŝoftɓank.jp      -
homoglyph      i.ŝoftƅank.jp      -
homoglyph      i.ŝoftḃank.jp      -
homoglyph      i.ṣoftƅank.jp      -
homoglyph      i.ṡoftƅank.jp      -
homoglyph      i.ʂoftƅank.jp      -
homoglyph      i.șoftƅank.jp      -
homoglyph      i.ꜱoftƅank.jp      -
homoglyph      i.ṣoftʙank.jp      -
homoglyph      i.ṡoftʙank.jp      -
homoglyph      i.ꜱoftʙank.jp      -
homoglyph      i.ṣoftḅank.jp      -
homoglyph      i.ꜱoftḅank.jp      -
homoglyph      i.ṡoftḅank.jp      -
homoglyph      i.ṣoftɓank.jp      -
homoglyph      i.ṡoftɓank.jp      -
homoglyph      i.ʂoftɓank.jp      -
homoglyph      i.ꜱoftɓank.jp      -
homoglyph      i.ṣoftbaņk.jp      -
homoglyph      i.ŝoftbaņk.jp      -
homoglyph      i.šoftbaņk.jp      -
homoglyph      i.ṡoftbaņk.jp      -
homoglyph      i.ʂoftbaņk.jp      -
homoglyph      i.șoftbaņk.jp      -
homoglyph      i.śoftbaņk.jp      -
homoglyph      i.ꜱoftbaņk.jp      -
homoglyph      i.ꜱoftbaṇk.jp      -
homoglyph      i.ṣoftbaṇk.jp      -
homoglyph      i.ṡoftbaṇk.jp      -
homoglyph      i.ṣoftbañk.jp      -
homoglyph      i.ŝoftbañk.jp      -
homoglyph      i.šoftbañk.jp      -
homoglyph      i.ʂoftbañk.jp      -
homoglyph      i.śoftbañk.jp      -
homoglyph      i.șoftbañk.jp      -
homoglyph      i.ṡoftbañk.jp      -
homoglyph      i.ꜱoftbañk.jp      -
