*original      icloud.com     17.253.144.10 2620:149:af0::10
addition       icloud1.com    104.21.52.92 2606:4700:3034::6815:345c
addition       icloud7.com    104.21.84.214 2606:4700:3036::6815:54d6
addition       icloud9.com    149.248.4.160
addition       icloudj.com    149.29.73.24
addition       icloudz.com    15.197.142.173
addition       icloudk.com    154.214.167.71
addition       icloud6.com    154.221.156.79
addition       icloude.com    17.253.142.4
addition       icloudo.com    17.253.142.4
addition       icloudv.com    170.33.13.246
addition       icloud0.com    178.254.0.107
addition       iclouds.com    185.53.177.51
addition       icloud3.com    185.53.178.54
addition       icloudf.com    192.198.80.147
addition       icloudl.com    192.198.80.149
addition       icloud2.com    199.59.243.222
addition       icloudd.com    199.59.243.222
addition       icloudb.com    34.102.136.180
addition       icloudi.com    34.102.136.180
addition       icloudg.com    35.186.238.101
addition       icloudh.com    35.186.238.101
addition       icloudy.com    35.186.238.101
addition       icloudc.com    37.48.65.150
addition       icloudt.com    43.156.255.190
addition       icloudq.com    45.38.190.130
addition       icloudn.com    64.190.63.111
addition       icloud4.com    74.208.236.59 2607:f1c0:100f:f000::200
addition       icloudr.com    79.134.121.53
addition       icloud8.com    99.83.153.108
addition       icloud5.com    -
addition       iclouda.com    -
addition       icloudm.com    -
addition       icloudp.com    -
addition       icloudu.com    -
addition       icloudw.com    -
addition       icloudx.com    -
bitsquatting   igloud.com     103.224.212.252
bitsquatting   ikloud.com     107.170.54.9
bitsquatting   icdoud.com     127.0.0.1
bitsquatting   iclgud.com     127.0.0.1
bitsquatting   iclkud.com     127.0.0.1
bitsquatting   iclmud.com     127.0.0.1
bitsquatting   iclo5d.com     127.0.0.1
bitsquatting   icloqd.com     127.0.0.1
bitsquatting   icnoud.com     127.0.0.1
bitsquatting   mcloud.com     13.93.181.185
bitsquatting   ialoud.com     17.167.146.43
bitsquatting   iclnud.com     17.167.146.43
bitsquatting   iclotd.com     17.167.146.43
bitsquatting   icmoud.com     17.253.142.4
bitsquatting   kcloud.com     172.67.210.29 2606:4700:3035::6815:1034
bitsquatting   acloud.com     183.129.249.113
bitsquatting   iclouf.com     199.59.243.222
bitsquatting   isloud.com     34.102.136.180
bitsquatting   ycloud.com     47.89.66.143
bitsquatting   iclout.com     64.98.135.49
bitsquatting   hcloud.com     69.163.187.243
bitsquatting   ibloud.com     -
bitsquatting   ichoud.com     -
bitsquatting   icloed.com     -
bitsquatting   icloue.com     -
bitsquatting   icloul.com     -
bitsquatting   iclowd.com     -
homoglyph      ieloud.com     103.224.182.207
homoglyph      icloub.com     103.224.182.234
