*original      yahoo.co.jp    182.22.25.252
addition       yahoo0.co.jp   -
addition       yahoo1.co.jp   -
addition       yahoo2.co.jp   -
addition       yahoo3.co.jp   -
addition       yahoo4.co.jp   -
addition       yahoo5.co.jp   -
addition       yahoo6.co.jp   -
addition       yahoo7.co.jp   -
addition       yahoo8.co.jp   -
addition       yahoo9.co.jp   -
addition       yahooa.co.jp   -
addition       yahoob.co.jp   -
addition       yahooc.co.jp   -
addition       yahood.co.jp   -
addition       yahooe.co.jp   -
addition       yahoof.co.jp   -
addition       yahoog.co.jp   -
addition       yahooh.co.jp   -
addition       yahooi.co.jp   -
addition       yahooj.co.jp   -
addition       yahook.co.jp   -
addition       yahool.co.jp   -
addition       yahoom.co.jp   -
addition       yahoon.co.jp   -
addition       yahooo.co.jp   -
addition       yahoop.co.jp   -
addition       yahooq.co.jp   -
addition       yahoor.co.jp   -
addition       yahoos.co.jp   -
addition       yahoot.co.jp   -
addition       yahoou.co.jp   -
addition       yahoov.co.jp   -
addition       yahoow.co.jp   -
addition       yahoox.co.jp   -
addition       yahooy.co.jp   -
addition       yahooz.co.jp   -
bitsquatting   9ahoo.co.jp    -
bitsquatting   iahoo.co.jp    -
bitsquatting   qahoo.co.jp    -
bitsquatting   xahoo.co.jp    -
bitsquatting   yahgo.co.jp    -
bitsquatting   yahko.co.jp    -
bitsquatting   yahmo.co.jp    -
bitsquatting   yahno.co.jp    -
bitsquatting   yahog.co.jp    -
bitsquatting   yahok.co.jp    -
bitsquatting   yahom.co.jp    -
bitsquatting   yahon.co.jp    -
bitsquatting   yaioo.co.jp    -
bitsquatting   yajoo.co.jp    -
bitsquatting   yaloo.co.jp    -
bitsquatting   yaxoo.co.jp    -
bitsquatting   ychoo.co.jp    -
bitsquatting   yehoo.co.jp    -
bitsquatting   yihoo.co.jp    -
bitsquatting   yqhoo.co.jp    -
cyrillic       уаһоо.co.jp    -
homoglyph      ỿahơơ.co.jp    -
homoglyph      ʏahơơ.co.jp    -
homoglyph      ẏahơơ.co.jp    -
homoglyph      ȳahơơ.co.jp    -
homoglyph      ỵahơơ.co.jp    -
homoglyph      ɏahơơ.co.jp    -
homoglyph      ƴahơơ.co.jp    -
homoglyph      ÿahȯȯ.co.jp    -
homoglyph      ÿahᴏᴏ.co.jp    -
homoglyph      ÿahỏỏ.co.jp    -
homoglyph      ÿahơơ.co.jp    -
homoglyph      ÿahọọ.co.jp    -
homoglyph      ẏahóó.co.jp    -
homoglyph      ȳahóó.co.jp    -
homoglyph      ỵahóó.co.jp    -
homoglyph      ɏahóó.co.jp    -
homoglyph      ỿahóó.co.jp    -
homoglyph      ŷahóó.co.jp    -
homoglyph      ʏahóó.co.jp    -
homoglyph      ýahóó.co.jp    -
homoglyph      ÿahóó.co.jp    -
homoglyph      ƴahóó.co.jp    -
homoglyph      ỵahọọ.co.jp    -
homoglyph      ỿahọọ.co.jp    -
homoglyph      ẏahȯȯ.co.jp    -
homoglyph      ỵahȯȯ.co.jp    -
homoglyph      ỿahȯȯ.co.jp    -
homoglyph      ʏahȯȯ.co.jp    -
homoglyph      ɏahȯȯ.co.jp    -
homoglyph      ȳahȯȯ.co.jp    -
homoglyph      ỵahỏỏ.co.jp    -
homoglyph      ỿahỏỏ.co.jp    -
homoglyph      ƴahöö.co.jp    -
homoglyph      ỵahöö.co.jp    -
homoglyph      ɏahöö.co.jp    -
